381, 99
382, 98
398, 98
399, 99
405, 99
406, 100
410, 100
411, 101
414, 101
415, 102
417, 102
418, 103
420, 103
421, 104
422, 104
423, 105
424, 105
425, 106
427, 106
429, 108
430, 108
431, 109
432, 109
434, 111
435, 111
437, 113
438, 113
450, 125
450, 126
451, 127
451, 128
453, 130
453, 131
454, 132
454, 133
455, 134
455, 136
456, 137
456, 139
457, 140
457, 143
458, 144
458, 156
457, 157
457, 160
456, 161
456, 163
455, 164
455, 166
454, 167
454, 168
453, 169
453, 170
452, 171
452, 172
450, 174
450, 175
438, 187
437, 187
434, 190
433, 190
432, 191
431, 191
429, 193
428, 193
427, 194
426, 194
425, 195
423, 195
422, 196
421, 196
420, 197
418, 197
417, 198
415, 198
414, 199
411, 199
410, 200
407, 200
406, 201
400, 201
399, 202
382, 202
381, 201
374, 201
373, 200
370, 200
369, 199
366, 199
365, 198
363, 198
362, 197
360, 197
359, 196
358, 196
357, 195
356, 195
355, 194
353, 194
351, 192
350, 192
349, 191
348, 191
346, 189
345, 189
343, 187
342, 187
330, 175
330, 174
329, 173
329, 172
327, 170
327, 169
326, 168
326, 167
325, 166
325, 164
324, 163
324, 161
323, 160
323, 157
322, 156
322, 145
323, 144
323, 140
324, 139
324, 137
325, 136
325, 134
326, 133
326, 132
327, 131
327, 130
329, 128
329, 127
331, 125
331, 124
342, 113
343, 113
345, 111
346, 111
348, 109
349, 109
350, 108
351, 108
352, 107
353, 107
354, 106
355, 106
356, 105
357, 105
358, 104
359, 104
360, 103
362, 103
363, 102
365, 102
366, 101
369, 101
370, 100
374, 100
375, 99
