593, 115
594, 114
608, 114
609, 115
615, 115
616, 116
619, 116
620, 117
622, 117
623, 118
625, 118
626, 119
628, 119
629, 120
630, 120
631, 121
632, 121
633, 122
634, 122
635, 123
636, 123
637, 124
638, 124
640, 126
641, 126
645, 130
646, 130
655, 139
655, 140
658, 143
658, 144
660, 146
660, 147
661, 148
661, 149
662, 150
662, 151
663, 152
663, 153
664, 154
664, 156
665, 157
665, 159
666, 160
666, 163
667, 164
667, 168
668, 169
668, 183
667, 184
667, 188
666, 189
666, 192
665, 193
665, 195
664, 196
664, 198
663, 199
663, 200
662, 201
662, 202
661, 203
661, 204
660, 205
660, 206
658, 208
658, 209
655, 212
655, 213
645, 223
644, 223
641, 226
640, 226
638, 228
637, 228
636, 229
635, 229
634, 230
633, 230
632, 231
631, 231
630, 232
629, 232
628, 233
627, 233
626, 234
624, 234
623, 235
620, 235
619, 236
616, 236
615, 237
610, 237
609, 238
593, 238
592, 237
587, 237
586, 236
583, 236
582, 235
580, 235
579, 234
577, 234
576, 233
574, 233
573, 232
572, 232
571, 231
570, 231
569, 230
568, 230
567, 229
566, 229
565, 228
564, 228
562, 226
561, 226
558, 223
557, 223
547, 213
547, 212
544, 209
544, 208
543, 207
543, 206
541, 204
541, 203
540, 202
540, 201
539, 200
539, 199
538, 198
538, 196
537, 195
537, 193
536, 192
536, 189
535, 188
535, 184
534, 183
534, 170
535, 169
535, 164
536, 163
536, 160
537, 159
537, 157
538, 156
538, 155
539, 154
539, 152
540, 151
540, 150
541, 149
541, 148
543, 146
543, 145
545, 143
545, 142
548, 139
548, 138
556, 130
557, 130
560, 127
561, 127
564, 124
565, 124
566, 123
567, 123
568, 122
569, 122
570, 121
571, 121
572, 120
573, 120
574, 119
576, 119
577, 118
579, 118
580, 117
582, 117
583, 116
586, 116
587, 115
